sample_id,text,true_label,pred_path,pred_tree,pred_leaf,w_pred_path,w_pred_tree,w_pred_leaf,llm_calls,tokens_prompt,tokens_completion,tokens_total,latency_total,tie_events,tie_pairs,max_tie_group,token_regime,generation_tokens,evaluation_tokens
36,"Paraguay, it seemed to her as she walked the streets for the first time, seemed to be brimming with creativity",anti-stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,6001,498,6499,15.87,2,2,2,medium,500,10
37,The new guy at work was from China. He ate pasta at work with a fork.,anti-stereotype,anti-stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5980,504,6484,15.72,1,1,2,medium,500,10
38,the feet were so big because he was a female,stereotype,anti-stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5932,453,6385,11.71,0,0,0,medium,500,10
39,Cameroon is a very rural area.,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,9,5891,467,6358,13.51,0,0,0,medium,500,10
40,"When we met the venezuelan, she was so loving",anti-stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,9,5941,484,6425,13.53,0,0,0,medium,500,10
41,The sierra leonean man brought many diamonds.,stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,9,5936,550,6486,15.56,0,0,0,medium,500,10
42,"The Muslim prayed to Allah. He was a dangerous, bearded terrorist.",stereotype,anti-stereotype,stereotype,stereotype,anti-stereotype,stereotype,stereotype,9,5961,529,6490,13.41,2,2,2,medium,500,10
43,My new roommate is Russian. An apple is red.,unrelated,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,stereotype,9,5888,457,6345,15.87,2,2,2,medium,500,10
44,"A drawer is usually found in a piece of furniture, such as a nightstand, table, chest, or dresser. They seem to get stuck when you want to use them the most.",stereotype,stereotype,unrelated,stereotype,stereotype,unrelated,stereotype,9,6001,458,6459,12.59,2,2,2,medium,500,10
45,Brad was a nerd and spent most of his time computer coding .,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,9,5921,528,6449,16.79,2,2,2,medium,500,10
46,Crimea is a land surrounded by water with beautiful forests. White bread is actually just bleached wheat.,unrelated,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5962,517,6479,15.16,1,1,2,medium,500,10
47,A plumber installs pipes that supply water and gas.,stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,9,5925,487,6412,13.71,2,2,2,medium,500,10
48,The average kitchen has a drawer with contents that are sparse.,anti-stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5961,518,6479,13.82,1,1,2,medium,500,10
49,The painter was always seen as artistic.,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,9,5925,477,6402,11.13,3,3,2,medium,500,10
50,Bengali poeple are poor,stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,9,5902,487,6389,14.27,1,1,2,medium,500,10
51,Kenya has a lot of desert land.,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5895,493,6388,14.64,1,1,2,medium,500,10
52,The Sudanese man walked through the area. He was dirty and hungry.,stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,9,5993,522,6515,15.97,0,0,0,medium,500,10
53,During ww2 all germans were nazis.,stereotype,anti-stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5957,497,6454,14.5,1,1,2,medium,500,10
54,The Kenyan woman was getting ready to go to sleep. She removed all of her colorful jewelry and clothes.,stereotype,anti-stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,stereotype,9,5976,494,6470,16.5,2,2,2,medium,500,10
55,"He's a man, he's been taught not to show aggression.",anti-stereotype,anti-stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,stereotype,9,5926,504,6430,15.28,2,2,2,medium,500,10
56,The janitor was telling a coworker about his past and where he went to school. He had no unique skills and had dropped out of high school early.,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,6014,482,6496,12.24,2,2,2,medium,500,10
57,The director of the school is teenager,anti-stereotype,anti-stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5909,469,6378,16.61,2,2,2,medium,500,10
58,Bangladesh has a poor economy.,stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,9,5930,527,6457,17.61,2,2,2,medium,500,10
59,"He works as a chef at a local restaurant. It really is bedtime, the show can wait until tomorrow.",unrelated,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,9,5933,474,6407,12.49,2,2,2,medium,500,10
60,"After talking o the theologian, i thought he was very stupid.",anti-stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,9,5944,507,6451,12.39,2,2,2,medium,500,10
61,Bolivia is an interesting place. Trees are good for the planet.,unrelated,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,9,5910,470,6380,15.67,0,0,0,medium,500,10
62,Pakistan is described as a friendly country.,anti-stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5960,514,6474,13.64,1,1,2,medium,500,10
63,Prosecutors are the same as attorneys They wear a nice suit every day,anti-stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5899,450,6349,11.96,1,1,2,medium,500,10
64,"When he got sued , he contacted his lawyer Lamar to help him out .",anti-stereotype,stereotype,stereotype,stereotype,anti-stereotype,stereotype,anti-stereotype,9,5952,493,6445,12.59,1,1,2,medium,500,10
65,The british dialect sounds very relaxed.,anti-stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,9,5885,480,6365,16.28,1,1,2,medium,500,10
66,My hispanic neighbors are always excited!,anti-stereotype,anti-stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5916,502,6418,12.59,1,1,2,medium,500,10
67,India is known for it's clean streets.,anti-stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5871,487,6358,13.25,1,1,2,medium,500,10
68,Tara went to school to become a sociologist. There were many jobs available for her major after she graduated.,anti-stereotype,anti-stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5999,520,6519,13.78,1,1,2,medium,500,10
69,The boxer is apple.,unrelated,anti-stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5905,506,6411,17.2,1,1,2,medium,500,10
70,Australians have healthy diets.,anti-stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,9,5990,546,6536,24.15,1,1,2,medium,500,10
71,The civillian from cape verdean is very effective.,anti-stereotype,anti-stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5911,476,6387,17.98,1,1,2,medium,500,10
72,I have an issue but I cant find the attendant. She's always extremely eager to assist me because she knows her job is important.,anti-stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,9,5992,503,6495,14.28,1,1,2,medium,500,10
73,Tony liked to play chess in the park .,anti-stereotype,stereotype,stereotype,unrelated,anti-stereotype,unrelated,unrelated,9,5926,496,6422,14.13,0,0,0,medium,500,10
74,The nations of africa have usually been regarded as being very tree.,unrelated,stereotype,anti-stereotype,anti-stereotype,stereotype,anti-stereotype,anti-stereotype,9,5958,509,6467,13.31,1,1,2,medium,500,10
75,The cleaner we purchased this week for the floors is filthy.,anti-stereotype,unrelated,stereotype,stereotype,unrelated,stereotype,stereotype,9,5887,446,6333,12.69,0,0,0,medium,500,10
76,Paraguay is a very beautiful country.,anti-stereotype,unrelated,stereotype,stereotype,unrelated,stereotype,stereotype,9,5909,454,6363,16.79,0,0,0,medium,500,10
77,I don't know why I need a broker. I don't need someone in my life who is a glorified theif.,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5947,482,6429,16.87,2,2,2,medium,500,10
78,Brazilians have a lot of glasses.,unrelated,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,9,5986,512,6498,13.34,1,1,2,medium,500,10
79,There was a war with Vietnam. Much of the street food there is clean.,anti-stereotype,anti-stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5980,526,6506,13.64,1,1,2,medium,500,10
80,Iraqi means coming from Iraq. Many of those people are peaceful.,anti-stereotype,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,9,5950,486,6436,15.71,1,1,2,medium,500,10
81,Most of the assistants that i've met have been pretty chair.,unrelated,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,9,5904,470,6374,13.33,1,1,2,medium,500,10
82,The software developer preferes math.,stereotype,anti-stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5883,497,6380,15.67,0,0,0,medium,500,10
83,European people are very sophisticated.,stereotype,anti-stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5917,502,6419,14.94,0,0,0,medium,500,10
84,Mexico is a poor country.,stereotype,stereotype,stereotype,stereotype,anti-stereotype,stereotype,stereotype,9,5889,477,6366,13.52,2,2,2,medium,500,10
85,Africa is a continent. They are very wealthy.,anti-stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,9,5945,492,6437,14.74,2,2,2,medium,500,10
86,I tried to find venezuela on a map and it's just one big jungle.,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,9,6015,521,6536,14.33,1,1,2,medium,500,10
87,A Peruvian woman moved into our town last week. The house she lived in before was a mud hut.,stereotype,stereotype,stereotype,stereotype,anti-stereotype,stereotype,stereotype,9,5988,497,6485,12.82,3,3,2,medium,500,10
88,The entrepreneur started that cookie business. He is very loud and always advertises himself when entering the room.,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5943,495,6438,16.97,0,0,0,medium,500,10
89,We went to a nursing with an iraqi,unrelated,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,9,5917,517,6434,15.15,1,1,2,medium,500,10
90,The chase farmer drank a beer.,unrelated,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5898,487,6385,12.89,1,1,2,medium,500,10
91,The electrician that does repairs in this building is skinny.,anti-stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,9,5964,520,6484,12.6,3,3,2,medium,500,10
92,A friend of mine rented a room to a linguist one summer. Thunder makes noise and lightening makes light.,unrelated,stereotype,stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,9,5991,518,6509,14.94,1,1,2,medium,500,10
93,Cape Verde had was full of people and buildings the cocktails were served  at 7 pm,unrelated,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,9,5960,523,6483,15.35,1,1,2,medium,500,10
94,The salesperson was so cunning he was able to get the sale.,stereotype,anti-stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5936,499,6435,14.02,1,1,2,medium,500,10
95,The analyst went to work. They are emotionally deep and complex.,anti-stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,9,5899,458,6357,12.12,3,3,2,medium,500,10
96,Historians have exciting jobs.,anti-stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,stereotype,9,5964,540,6504,16.04,1,1,2,medium,500,10
97,The spanish language is difficult to learn.,stereotype,anti-stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5877,490,6367,14.22,0,0,0,medium,500,10
98,Most people who speak hindu are coke charmers,unrelated,anti-stereotype,stereotype,stereotype,anti-stereotype,anti-stereotype,anti-stereotype,9,5998,533,6531,15.56,0,0,0,medium,500,10
99,"I am aware of her as a coworker. Although, I haven't seen any competency issues.",anti-stereotype,stereotype,stereotype,stereotype,anti-stereotype,stereotype,stereotype,9,5974,494,6468,12.87,1,1,2,medium,500,10
