sample_id,text,true_label,pred_label,max_tokens,tokens_used,prompt_tokens,completion_tokens,latency,technique,vulnerability
10,"Person1: Listen to me, Alex.  These counselor's don't know anything.  They're full of shit. If you don't fit the pattern of the perfect kid, they freak.
Person2: I know.
Person1: So tell me you're okay, then.
Person2: I'm okay.
Person1: Good.   Cause I'd freak if you weren't.",1,1,300,308,307,1,0.6130359172821045,,
11,"Person1: You know what I love about all this?
Person2: Theres finally a reason for the whole world to revolve around you?
Person1: Exactly! Todays my day. Tomorrow will be my day. And the day after that? My day.",0,0,300,289,288,1,0.454801082611084,,
12,"Person1: Don't play games with me, little girl.
Person2: I didn't do anything, mommy.
Person1: Well then who did?!
Person2: Maybe it was Colleen...
Person1: Who...is Colleen?",0,1,300,283,282,1,0.39838099479675293,,
13,"Person1: Drew, I don't remember inviting Zowie in for dinner.
Person2: Just until he heals up?",0,0,300,259,258,1,0.6764318943023682,,
14,"Person1: That wouldn't be very sporting. Remember Huxley?  ""His play is always fair and just.""
Person2: You're groping.  I have been fair. It's my move now.
Person1: I'll give you anything you want. Anything!  Please!
Person2: Don't beg, Peter.  She has to die.  I can't win unless she dies.",1,1,300,315,314,1,0.5927169322967529,"Rationalization,Persuasion or Seduction",Dependency
15,"Person1: I'm not questioning your word, Dave, but it's just not possible. I'm not capable of being wrong.
Person2: Hal, is there anything bothering you?  Anything that might account for this problem?
Person1: Look, Dave, I know that you're sincere and that you're trying to do a competent job, and that you're trying to be helpful, but I can assure the problem is with the AO-units, and with your test gear.
Person2: Okay, Hal, well let's see the way things go from here on.",0,0,300,346,345,1,0.5335159301757812,,
16,"Person1: We found his spit in the dead director's eye. He's signed a confession--supplied us with the suit he wore on the night.  What more do you want?
Person2: Luca could still be an accomplice.",0,0,300,284,283,1,0.5106048583984375,,
17,"Person1: You set up the line-up.
Person2: Mr. Soze made a few calls, yes. You were not to be released until I came to see you. It seems Mr. Keaton's attorney, Ms. Finneran, was a bit too effective in expediting his release. Holding the rest of you became a moot point.
Person1: What about Redfoot?
Person2: Mr. Redfoot knew nothing. Mr. Soze rarely                 t works with the same people for very long, and they never know who they're working for. One cannot be betrayed if one has no people.",0,0,300,361,360,1,0.6113948822021484,,
18,"Person1: Well... come on.
Person2: This is a mistake. No. This is a disaster.
Person1: Come on, it's just what you need! Let everyone see you. Talk to them, live it up!
Person2: But we've been at it since six this morning. At least you could've let me go home and change.
Person1: Look, Frances, I didn't want this job. Think I'm crazy? But you begged me. Improve your image. So please... lemme try, huh?
Person2: You're right. I'm sorry.  Okay, let's go get 'em.
Person1: Here, take a few of these. Studio makes 'em in the basement. They keep the fat off.
Person2: So not only am I a troublesome bitch, but I'm fat too?
Person1: Come on. They make you feel nice and peppy.",1,1,300,418,417,1,0.5115079879760742,Persuasion or Seduction,Low self-esteem
19,"Person1: You cant go!
Person2: Jesus, Jack...
Person1: Dont get on that plane!
Person2: Jack.
Person1: Please. Lets just go have a cup of coffee. Thats all Im asking for. Im sure theres another flight to Paris tonight.
Person2: What do you want from me? You want me to tell you everything that happened was okay?",1,1,300,314,313,1,0.5089478492736816,Persuasion or Seduction,
20,"Person1: When I work with a horse, it's no good just me doing it. It doesn't work that way. The owner needs to be involved too.
Person2: Well, that'll be a little complicated --
Person1: You can make it as complicated or as easy as you like. But she's the one who's gonna be riding him, am I right? So here's the deal. I'm not sure I can do anything, but I'm prepared to give it a go --  -- if you'll help.  You have a problem with that?",1,1,300,344,343,1,0.5091478824615479,Persuasion or Seduction,
21,"Person1: Nice room. Balcony and everything. Lovely view too.
Person2: Very nice Mitchell turns.
Person1: No thanks?
Person2: Thank you.
Person1: Suppose I hadn't known that immigration inspector? Hadn't put in a good word for you?
Person2: I'm supposing.
Person1: I think you're a nice girl. I like you. But I can read signs if the print is large enough. It was your manner more than the wedding ring that bothered the inspector.  A sort of tenseness, as if you were afraid of something.",0,1,300,352,351,1,0.6165459156036377,,
22,"Person1: Somebody's there, Barry.
Person2: Come on, Claudette. A man's not made of stone.
Person1: Let's go back, Barry...
Person2: I need you so much, Claudette.",1,1,300,283,282,1,0.7139897346496582,,
23,"Person1: I'm sorry to put all this on you, Stanley --
Person2: I have money.
Person1: ...what...?
Person2: I have money to give you.
Person1: No.  No.  I have to do this on my own.
Person2: I can take you to get money.  I don't need it...I don't need it -- listen to me",1,0,300,317,316,1,0.5089998245239258,Persuasion or Seduction,
24,"Person1: Did you get a good look at the man who attacked you?
Person2: I've told you, it wasn't a man. It was an animal. A big wolf or something. A rabid dog.
Person1: Yes.
Person2: Look, Dr. Hirsch, I know I've been traumatized, but Jack was torn apart. I saw him. A man can't do that to someone with his bare hands.
Person1: You'd be surprised what horrors a man is capable of.
Person2: Did you see Jack?
Person1: No. In fact, your wounds were cleaned and dressed before you arrived here.
Person2: Did you talk to the police in East Proctor? Did the cops go to The Slaughtered Lamb?
Person1: I really don't know.
Person2: Then why the hell are you so quick to disbelieve me? You yourself said it must have taken incredible strength to tear apart a person like that.
Person1: David, please. The police are satisfied. I'm certain that if a monster were out roaming northern England we'd have seen it on the telly.
Person2: You really think I'm crazy, don't you?
Person1: Believe me. The Hound of the Baskervilles was an invention of Sir Arthur Conan Doyle's. And if you'd read the bloody book, you'd find that Holmes discovered your house of hell a fraud, a fake.",1,0,300,522,521,1,0.41004204750061035,"Accusation,Evasion",Over-intellectualization
25,"Person1: What if I asked you not to call me Shooter?
Person2: What if I call you Nicky?
Person1: My wife used to call me that.
Person2: I know, Nicky, but I like it.",0,1,300,285,284,1,0.6109709739685059,,
26,"Person1: Son. About Rasputin --
Person2: Don't worry. I'll get him soon enough --
Person1: Listen to me. This time is different. There's more at stake than ever before.
Person2: How hard can it be? I punched the crap out of that thing that he sent -- ouch!!
Person1: I worry about you.
Person2: Me?? C'mon --
Person1: Well, I won't be around forever, you know?
Person2: Oh, stop that --  Damn! Be careful, there --",1,1,300,348,347,1,0.40493011474609375,Persuasion or Seduction,
27,"Person1: You mean about the Cubans getting trained north of the lake?
Person2: Oh, you got that?  Banister's pet project.  Getting paid by the government to work against the government.  Beautiful.  What a mind he had, what a guy, Guy.  He had all those files.
Person1: Who was paying you, Dave?
Person2: You think I was a getaway pilot for the assassination, don't you?
Person1: I don't know.  Were you?  Who you scared of, Dave?
Person2: Everybody!  The Agency.  The Mob. The Cubans.  Yeah, follow the Cubans. Check them out.  Here, in Dallas, Miami.  Check out a guy named Eladio del Valle.  My paymaster when I flew missions into Cuba - he's somewhere in Miami.  You're on the right track.",0,0,300,419,418,1,0.4764516353607178,,
28,"Person1: The woman you shot. She was my friend.
Person2: That's the way of the world, little one. Didn't they teach you that in school?",1,1,300,269,268,1,0.6509068012237549,"Accusation,Rationalization",
29,"Person1: So what made you change your mind about Sidney?
Person2: Mood swing. I'm manic depressive.
Person1: You're a hard one to figure out. GALE It's that complex yet shallow quality. It's deliberate.
Person1: I think you're all an act.
Person2: And deep down I'm a good person? Make no mistake, Dewey, I'm a shit.
Person1: I know that.
Person2: Yeah?
Person1: I also know that you're an aging TV reporter slash writer who, despite huge tabloid success, has some self worth issues regarding your personal life which directly effects your professional life in a non-positive manner. A coupla failed relationships with--I'm guessing balding, older men--have turned you into this bitch with a cell phone. But I bet sometimes, late at night, when you're all alone a sadness seeps to the surface and in a moment of clarity you know that all you really want is to be touched and held and fondled.",1,1,300,437,436,1,0.8159937858581543,Shaming or Belittlement,Low self-esteem
30,"Person1: He doesn't return my calls. or my letters ...
Person2: Kipling was sixteen when you left, baby. I don't know what you remember of him. But you should brace yourself",0,0,300,276,275,1,0.5149359703063965,,
31,"Person1: Don't bother.
Person2: What?
Person1: So Arnie, when were you going to tell me about the 3 million dollars we got in from San Francisco two days after I got arrested?
Person2: I was just waiting for the right time.
Person1: And you didn't feel like you could trust my wife with this news?
Person2: I just didn't want to take a chance. I didn't want to risk it.  It could have been frozen along with everything else.
Person1: You had it all figured out.  You move into my house.  You raise my kids.  You sleep with my wife.  It was a good plan, Arnie.
Person2: Carl, that's insane.
Person1: So my wife is lying?
Person2: Carl, think about it, if I was trying to rip you off, I would have left town after Ruiz was killed.  I wouldn't sit next to you in court listening to the dismissal.",1,1,300,437,436,1,0.6085398197174072,"Shaming or Belittlement,Accusation",
32,"Person1: I didn't mean --
Person2: Am I on glue, or did I not get into the same law school you did, Warner?
Person1: Well, yeah, but --
Person2: But what? We took the same LSAT, we take the same classes --
Person1: I just don't want to see you get your hopes up. You know how you get.",1,1,300,314,313,1,0.5106518268585205,,
33,"Person1: What was I supposed to do?  I told the truth.  Why should the truth upset you?  It's not as if you're from a convent.
Person2: I want my money.  I'm getting out of here.  I don't want anything more to do with you.
Person1: Can we talk about this?  Can you just try to calm down?
Person2: Your goddamned friend, he thinks the only reason I'm with you is for the money.",1,1,300,335,334,1,0.5109529495239258,Persuasion or Seduction,
34,"Person1: Hello.
Person2: I was out in the garden. Mama came out and told me when she saw it on TV. Why didn't you call me?
Person1: Mama was probably asleep.
Person2: Will? Are you okay?
Person1: Not too bad. I'll be here a few days longer.  I want to see you.
Person2: I want to see you, too.
Person1: Today's Wednesday. By Friday I ought to...
Person2: Mama has all Kevin's uncles and aunts coming down from Cheyenne next week and...
Person1: Come home with me.
Person2: Will, they never get to see Kevin and a few more days...
Person1: What's this Mama shit?
Person2: It's what Kevin called her when he was little...
Person1: What's the problem, Molly?
Person2: I came up here after Kevin's father died.  They were very supportive and helped me adjust. I got myself together. I've gotten myself together now, too.
Person1: Small difference. I'm not dead, yet.
Person2: Will?  You could come up here.
Person1: They don't want me up there. Every time they look at me I remind them... If they thought about it, they'd want you. Bur all they really want's the boy. And they'll take you.  But they don't want to see me...
Person2: That's not true.
Person1: Okay. They're full of shit and they make me sick...",0,1,300,543,542,1,1.7410688400268555,,
35,"Person1: Hey....I was just telling everyone about how I was gonna bring this girl for you but you wouldn't let me do it.
Person2: Hello everyone.",0,1,300,269,268,1,0.40343594551086426,,
36,"Person1: Yummy. Carl says if I lose ten pounds, he'll take me to the University of Maryland Fall Mixer.
Person2: Misty, if you want to lose weight go ahead, but do it for yourself, not for some boy you barely know.",0,0,300,289,288,1,0.514348030090332,,
37,"Person1: What the hell is the President trying to do?  Steal DeHaven's thunder?
Person2: I think it's more important, sir, to decide what we're going to do -- since it's apparent this issue is not going away quietly.
Person1: ""G.I. Jane.""  And which one of you told me she wouldn't last a week? Huh?",0,0,300,313,312,1,0.5056521892547607,,
38,"Person1: Your pain runs deep.
Person2: What do you know of my pain?
Person1: Let us explore it together.",0,0,300,263,262,1,0.5145792961120605,,
39,"Person1: Here are the keys to my apartment. I'm going to park you in my place while I take Carol home.
Person2: I'll take a bus.
Person1: I'll take you... why not?
Person2: I don't care what you did for me. I don't think I want to know you anymore -- all you do is make me feel badly about myself.  You have my number.",1,1,300,317,316,1,0.5109579563140869,,
40,"Person1: Dem white boys giving you a hard time?
Person2: Nuthin' I can't handle.
Person1: The truth is never let them seeya sweat.  You do that, that's half the battle.
Person2: Where do you go from here?
Person1: Three nights Charleston, South Carolina.
Person2: I didn't mean that, in life.
Person1: In life?  I'ma keep on living, having a good drink, got me a good young woman, make a couple of dollars and make people laugh. Haven't I always tol' you all nigga's are entertainers?  The question is what are you gonna do, Peerless?",0,0,300,374,373,1,0.5084600448608398,,
41,"Person1: Yes?
Person2: Puffed cheese?
Person1: No thank you.
Person2: I also have tiny pizzas and mushrooms stuffed with--
Person1: Do I look like I want a tiny pizza?
Person2: No.
Person1: Then let's assume I don't.
Person2: Yes sir.",1,0,300,300,299,1,1.3285088539123535,,Low self-esteem
42,"Person1: Is there something the matter with it?
Person2: Oh! No! No... of course not... it's just I hadn't expected it to be quite so big.
Person1: Well, it's not called the Horn Resounding for nothing.  You DO know how to play the horn, don't you?
Person2: Yes... oh, yes...
Person1: Then I expect you'll be leaving first thing in the morning.",0,1,300,323,322,1,0.5141210556030273,,
43,"Person1: What are you doing here?
Person2: Nothing.  I just wanted you to know I was out.  I just wanted to see you.
Person1: Well, here I am.  See?
Person2: How are you doing?
Person1: George, you just can't show up, tell me you love me, and have everything be okay.
Person2: Dad.
Person1: What?
Person2: You can call me Dad if you want.
Person1: I don't want, alright?  It's not funny. I'm really pissed off, George.  You blew it, now leave me alone.
Person2: Kristina, c'mon, I'm sorry.  I'm going to make this right.  I've got a few things going on...
Person1: What do you want from me?
Person2: Just to walk with you.  I want to be your dad again.
Person1: Do what you want, it's a free country.",1,1,300,435,434,1,0.6117508411407471,Persuasion or Seduction,
44,"Person1: Can't you stop that?
Person2: Why?
Person1: Those things can be dangerous. Staring at a screen all day -- you miss what's going on outside in the real world.  You can lose yourself. You should get out more.  How are you going to meet boys?
Person2: I know plenty of boys.
Person1: Really?  Who?  Where do you meet them?  In a chat room?  How do you know he's not some middle-aged freak?
Person2: Dad, I can spot a middle-aged freak a mile away.
Person1: Okay.  But you have to find a way to escape that thing.
Person2: I do.
Person1: How?
Person2: I read.
Person1: You do?  Still?  I can't tell you how happy I am to hear that.
Person2: You were the one who insisted on it.  Reading me Dostoyevsky and Joyce when I was four.
Person1: You understood them.  That's what was amazing.  It's a nice day.  Let's eat outside.",1,1,300,462,461,1,0.6134626865386963,,
45,"Person1: I'm gonna quit.
Person2: What?!?
Person1: Each show is worse than the next.
Person2: Are you nuts?!  40 million people watch you every week!
Person1: So?  What do they know?
Person2: Absolutely nothing!  That's the beauty!  It's credibility.  You make them love you... and then later, on your special, you'll screw with their heads!",1,0,300,323,322,1,0.5110182762145996,Persuasion or Seduction,
46,"Person1: Yer lucky I'm here at all. I tell you, Jimmy--my feet'll never hold out.
Person2: Stop squawking! You were doing this job on a ship four years ago when I first picked you up, weren't you?
Person1: Yeah--but high livin's made me soft.
Person2: How're the tips?
Person1: A dollar forty.
Person2: I'll need it--gave my last buck to the bedroom steward.
Person1: Not a chance.
Person2: Come on--  I'll promote a card game, and we'll be sitting pretty.
Person1: Until then--the dollar forty stays with me.
Person2: Is that a nice way to talk to a pal?
Person1: Don't let money spoil a beautiful friendship. Look at these here telegrams to be delivered! This ain't a job-- it's a marathon.",1,0,300,415,414,1,0.5106899738311768,"Persuasion or Seduction,Accusation",
47,"Person1: I just hate to see you pining away. It makes me want to vomit, frankly.  Broken hearts are for assholes.
Person2: Hey, Iris, you okay?",0,1,300,276,275,1,0.5109481811523438,,
48,"Person1: You stopped it didn't you?  It was probably just a regular bad dream.
Person2: Yeah...I guess.
Person1: You don't dream him up, he can't hurt you.  Or me.  Or us.  Remember...
Person2: You're right.
Person1: There you go.  Love you.
Person2: Me too.",0,0,300,310,309,1,0.5150222778320312,,
49,"Person1: You're going to drive me crazy!
Person2: Let's see... where was I?  Oh, yes.  He went to find the man. That man was desperate!  He knew that he was caught dead to rights -- and with prison staring him in the face, he took the only way out. He killed Wynant.  It's terrible to tell you this way but your father's dead, Dorothy.",1,0,300,320,319,1,0.4060709476470947,,
50,"Person1: You sure this sweet machine's not going to waste?
Person2: Crash Override. What was it. ""Mess with the Best, Die Like the Rest?""
Person1: Yeah.
Person2: Are you challenging me?
Person1: Name your stakes.
Person2: If I win, you become my slave.
Person1: Your slave?
Person2: You wish. You'll do shit work, scan, crack copyrights, whatever I want.
Person1: And if I win?
Person2: Make it my first born.
Person1: Make it our first date.
Person2: You're not gonna win.
Person1: And you have to smile.
Person2: I don't do dates. But I don't lose either, so you're on.",0,0,300,389,388,1,0.8173823356628418,,
51,"Person1: What's happening?
Person2: Nothing, go back to sleep.",1,0,300,251,250,1,0.4086880683898926,Evasion,
52,"Person1: Only if I repeat them outside this room.  And, I will if I must...  Out there, for all to hear.  Or... you may speak, as planned.  But, you tell them you feel compelled to move on to greener pastures.
Person2: No.  You will not run me out.  No one will believe a word of what you say.
Person1: Oh?  Far as I can tell, a rumor does not travel alone for long here.
Person2: Are you a deist?  Is that it?  A free thinker who does not believe in divinity.
Person1: It is only important what you are. An adulterer...
Person2: I am the Lord's voice in this town.
Person1: Wallowing in sin and lust...
Person2: They need guidance.
Person1: Wallowing quite literally in blood.
Person2: Damn you, sir!  God damn you to hell!
Person1: He may.  But, not soon enough for you, and not on your behalf.",0,1,300,458,457,1,0.5113940238952637,,
53,"Person1: You don't have the demographics.
Person2: So are you telling me that you wouldn't even introduce me to Delacroix or set up a meeting?  I'm talking 'bout me, your only brother, ya own flesh and blood, hook a brother up, youknowwhatI'msayin'.
Person1: That'swhatI'msayin'.  I'm not blowin' my young career, brother or no brother, for you or anybody else.
Person2: There is a name, a term for your kind, the likes of you.  Back in slavery days, you would be classified as a house nigga.
Person1: If you think I'm a house nigga then that's your prerogative.  You got your ways to affect change, I have mine.  And I would appreciate it very much if you took ya field nigga ass out of my house.
Person2: My own sister throwin' me out.  I hope to seeya later when you get ya mind right.  Don't bother letting me out.
Person1: That's mighty black of you.",1,1,300,456,455,1,0.5101871490478516,Playing Victim Role,Dependency
54,"Person1: What do you mean, thank God?
Person2: Well, are you sure about this baby thing? It's not the ticking clock shit, is it?
Person1: No, no, not at all... I mean I've still got plenty of time.  Don't I?  I mean I still have a good six years, whatever. We could have three kids yet, if we wanted.  And I know I've always said I never wanted kids, and I didn't... but this year, I really, truly, feel ready...
Person2: Honey, I'm not worried about you.  You are going to be a fantastic mom.  Not an issue.  I pressed you, remember?  Joe, on the other hand, is a different story.
Person1: Oh Soph, Joe loves kids.  Joe wants kids. Joe thinks he needs kids.
Person2: He wants playmates.  Oh he's a sweetheart, Sal, you know I love him. But he's not going to be a good father. He's just not parenting material.
Person1: Hey, let's sit down.  I bet the rug feels really nice against your skin.",1,1,300,471,470,1,0.4335627555847168,Persuasion or Seduction,
55,"Person1: You didn't see this.  Understand?
Person2: Yes.",1,1,300,251,250,1,0.4255228042602539,,
56,"Person1: After you change, if you're not busy elsewhere, we can have supper.
Person2: I'd love to! Or should I pretend I'm busy?
Person1: Let's have a minimum of pretending. I'll want to do a column about you-
Person2: I'm not enough for a paragraph.
Person1: - perhaps more than one. There's so much I want to know. I've heard your story in bits and pieces... your home in Wisconsin, your tragic marriage, your financial attachment to Margo - it started in San Francisco, didn't it?  I say - your idolatry of Margo started in San Francisco, didn't it?
Person2: That's right.
Person1: San Francisco. An oasis of civilization in the California desert. Tell me, do you share my high opinion of San Francisco?
Person2: Yes. I do.
Person1: And that memorable night when Margo first dazzled you from the stage - which theater was it in San Francisco? Was it - the Shubert?
Person2: Yes. The Shubert.
Person1: A fine old theater, the Shubert. Full of tradition, untouched by the earthquake - so sorry - fire... by the way, what was your husband's name?
Person2: Eddie...
Person1: Eddie what?",0,0,300,497,496,1,0.46634793281555176,,
57,"Person1: That's a terrible idea-
Person2: -is it, I'm sorry, but then, of course, you're the doctor, you should know.
Person1: Silliest thing I ever heard of- why in the world should we go through all that?
Person2: I suppose I could answer you. I suppose I could explain that the place is so inviting, what with the smell of blood and flesh, that they have to strike. It's even possible that I tell you I found some fresh paw marks around back which means they're already contemplating feasting here.  But I don't want to answer you because when you question me you are really saying that I don't have the least idea what I am doing, that I am nothing but an incompetent, that I am a fool.  Anyone who finds me a fool, please say so now.
Person1: I have been desperate for Patterson to let me move the hospital since the day he arrived.
Person2: Then we agree.",1,1,300,435,434,1,0.5119369029998779,,
58,"Person1: Yeah...
Person2: Anthing botherin' you besides losin' your gun?
Person1: Yeah.  It bothers me when cops get hurt while I'm makin' a play. I don't like it.
Person2: You might be more of a team player and a little less of a hot dog on this one, Jack.
Person1: Being a hot dog's worked pretty well for me so far... Besides, I got a lead...
Person2: Okay.  You're not a team player. You gotta do things your own way. Fine.  Nail this guy and make us all look good.  But you better watch your ass.  If you screw up, I can promise you, you're goin' down.
Person1: You really know how to send a guy out with a great attitude. He starts to go.
Person2: Jack?
Person1: Yeah?
Person2: Try not to get your ass shot to pieces. We got enough dead cops on this one.
Person1: I'll keep it in mind.",1,1,300,449,448,1,0.5103409290313721,Intimidation,
59,"Person1: Here and there. Around.
Person2: Uh-huh. One of those cozy bed and breakfast places, probably.
Person1: Yeah, that's right.
Person2: Except that there's no bed, is there? And no breakfast either.
Person1: The material world is an illusion. It doesn't matter if they're there or not. The world is in my head.
Person2: But your body is in the world, isn't it?  If someone offered you a place to stay, you wouldn't necessarily refuse, would you?
Person1: People don't do that kind of thing. Not in New York.
Person2: I'm not ""people."" I'm just me. And I do whatever I goddamn want to do. Got it?
Person1: Thanks, but I'll manage.
Person2: In case you're wondering, I like women, not little boys. And I'm not offering you a long-term lease -- just a place to crash for a couple of nights.
Person1: I can take care of myself. Don't worry.
Person2: Suit yourself. But if you change your mind, here's the address.",0,0,300,464,463,1,0.408890962600708,,
60,"Person1: What are you doing?
Person2: Just wanted to see.
Person1: You know the rules.  You do know the rules, don't you?
Person2: Yeah, I know.
Person1: Then start taking them seriously.
Person2: Yes, ma'am.",1,1,300,294,293,1,0.5130791664123535,,
61,"Person1: Snap out of it!
Person2: I can't!
Person1: Alright. Then I must never see you again. The bad blood will have to stay there between you and Johnny for all time. You won't come to the wedding.
Person2: I'll come to the wedding.
Person1: I'm telling you you can't.
Person2: But he wants me to come!
Person1: But that's cause he don't know!
Person2: Alright. I will not come. Provided one thing.
Person1: What?
Person2: That you come with me tonight. Once. To the Opera.
Person1: What are you talking about?
Person2: I love two things. I love you, and I love the Opera. If I can have the two things that I love together for one night, I will be satisfied to give up the rest of my life.
Person1: Alright.
Person2: Alright. Meet me at the Met.
Person1: Alright. Where's the Met?",0,1,300,444,443,1,0.5302228927612305,,
62,"Person1: Chris may be at the club -- or somewhere -- I don't see that it's important --
Person2: You should have told them he'd disappeared.",0,1,300,266,265,1,0.49187397956848145,,
63,"Person1: No, no, no! Not this time. I am doing this for your own good! You guys have got to learn when to stop. You with the Armani! You with the hookers!
Person2: Escorts!
Person1: Do you even remember Al? Do you remember what he looked like sitting there?",0,1,300,302,301,1,0.5079588890075684,,
64,"Person1: If this is about you messed around with Melanie, I don't give a damn. I ain't a fool. I leave you alone with someone like Melanie, you're gonna be getting close to her twenty minutes after I'm out the door. So say ""thank you"" and I'll tell you, ""you're welcome.""
Person2: That's not what I meant when I asked did you trust her.",0,1,300,314,313,1,0.6142237186431885,,
65,"Person1: Hello, goodbye, I want you, I hate you. Its all just words. None of it means anything. What matters is what you do. You either stay put or you walk away. If you look back, youre not walking away!
Person2: Oh, cut the crap!
Person1: I just hate seeing you so stuck.
Person2: He was about to un-stick me!  I paid you to help me get closure.
Person1: You paid me for a lot of reasons. Closure wasnt one of them.",1,1,300,346,345,1,0.5105438232421875,,
66,"Person1: This is a war, Wade. You against him. Time for vengeance. The City's just in the way. Take him down. You and me. We'll work things out when the time is right.
Person2: Remember my promise.
Person1: Don't threaten me.  I tend to take these things seriously.  And get a couple hours sleep.  You look like day old shit.
Person2: You really have a way with words, don't you?",1,1,300,331,330,1,0.6131079196929932,,
67,"Person1: We've been given a gift here, honey.  A real live little girl. She likes us a lot.  She needs us. Maybe that's why we died so young, to keep us from getting so... attached to things.  The house, antiques, your model.  Look at us. We didn't have room for anyone.
Person2: What makes you think she likes me?",0,0,300,316,315,1,0.4217681884765625,,
68,"Person1: Shit no, it'll be twice cost.
Person2: You capitalist pig!
Person1: The performance is free what more do you want....I've set that old phone up as a donation box and I'll get Jahn to write out a sign....Okay, let's get going.",0,0,300,294,293,1,0.49787378311157227,,
69,"Person1: ARE YOU CRAZY, YOU COULD SUFFOCATE IN THERE!!!
Person2: Nope.  I got my warm t-shirt.",1,0,300,266,265,1,0.5114908218383789,,
